ID,Name,Type,Website,Purpose,Meeting Day,Meeting Location
2440,UNBND at SDSU,Service & Support,https://www.unbndglobal.org,The purpose of this organization is to work to abolish human trafficking and advocate for victims of human trafficking while  educating students about the topics of human trafficking. UNBND is dedicated to the freedom and empowerment of Human Trafficking survivors as this is modern-day slavery.,,
2446,CyberRisk Organization (CybOrg) at SDSU,Academic Major Related,http://sdsucyb.org,"CybOrg is dedicated to advancing cybersecurity proficiency by facilitating hands-on workshops led by industry professionals, fostering networking opportunities with companies and recruiters, and developing skills in risk identification and mitigation. Our focus on achieving professional certifications ensures members are well-prepared to contribute effectively to the cybersecurity landscape.",Wednesday @ 12:30,
2451,Aztec Barbell Club,Recreational,http://linktr.ee/aztecbarbell,To provide a sense of community for strength sport athletes at SDSU in addition to serving as an official club to allow SDSU Powerlifters to compete at the collegiate level.,TBD,TBD
2453,National Association of Hispanic Journalists at SDSU,Academic Major Related,,"Open to all students, regardless of identity, and adheres to the same mission statement and goals as NAHJ: ¿¿organize and provide support for Hispanic Journalists. Encourage and support the study and practices of journalism and communications by Hispanics. ¿¿Promote accurate and fair treatment of Hispanics by the news media. Further employment opportunities and career development for Hispanics in the news media. Foster a greater understanding of the unique cultural identity, interests, and concerns of Hispanic Journalists.",,
2460,End Overdose SDSU,Service & Support,http://endoverdose.net,"End Overdose is a non-profit organization working to end drug-related overdose deaths through education, medical intervention, and public awareness. We will work to make resources that prevent overdose-related deaths accessible to everyone on our campus.",,
2462,AAPI Pre-Law Society,Academic Major Related,,"Shaping the future of law with AAPI representation and inclusion. Hosting biweekly speakers who are AAPI individuals in the law field. Affiliated with the APIDA Center, with the Associate Director as our advisor. Sharing advice and help for law school applications, LSAT Prep, and hosting workshops for developing professional profiles and LinkedIn profiles.","Thursdays, 3:30-5:30PM",APIDA Center
2463,eLeet Coders Club,Academic Major Related,,"This organization's purpose is to prepare students for tech job interviews by having them practice Leet Code problems, network, and listen to advice from industry guest speakers.",Thursdays 8:30 PM-9:30 PM,PS130
2470,Premier Muay Thai Club,Recreational,,"My purpose is to create a vibrant and inclusive community centered around the art of Muay Thai, fostering an environment where individuals can learn, grow, and connect both physically and mentally. Our club is dedicated to promoting the benefits of martial arts, fitness, and camaraderie, offering a unique space on campus where members can embark on a journey of self-improvement and build lasting relationships.",,
2471,Campus Curlz,Cultural,https://medium.com/@arnault-memar/semen-retention-as-a-means-of-challenging-the-modern-masculinity-f,To provide a safe space and unity to celebrate all hair from all cultures specifically people of color.,Bi-weekly,The union
2476,Christians At SDSU,Religious Based,,Bringing forth an opportunity for SDSU students to immerse themselves in the christian community. Weekly bible readings and club events and activities with other sdsu students!,mondays,
2481,Psychedelic Club,Recreational,,"1. Education and Awareness: To provide a platform for students and faculty to learn about psychedelics, their history, cultural significance, potential benefits and risks, and their role in mental health treatment and personal well-being. 2. Responsible Discourse: To foster open and informed discussions about psychedelics, allowing members to share their perspectives, experiences, and knowledge in a respectful and nonjudgmental environment. 3. Research and Exploration: To explore the scientific and therapeutic potential of psychedelics by reviewing existing research and inviting experts to share their findings. 4. Harm Reduction: To promote responsible and safe use of psychedelics by sharing harm reduction strategies and resources to minimize potential risks associated with use. 5. Cultural and Historical Context: To examine the historical, cultural, and societal aspects of psychedelics, including their use in various indigenous traditions and ceremonial contexts. 6. Community Building: To create a supportive and inclusive community of like-minded individuals interested in exploring the multifaceted aspects of psychedelics. 7. Guest Speakers and Workshops: To invite experts, researchers, and practitioners to provide lectures, workshops, and presentations to expand members' knowledge. 8. Outreach and Collaboration: To collaborate with other student organizations, academic departments, and community organizations interested in similar topics.",,
2482,Phi Kappa Tau Fraternity,Social Fraternity,https://www.instagram.com/sdsuphitau/,"We, the men of San Diego State University, in order to develop a lasting legacy of distinction, to instill the fundamentals of brotherhood, scholarship, and character, to promote democratic ethical leadership in the community, to maintain the ideals passed down by the founding fathers, to encourage philanthropic venture, service to the community, and diversity, and to strengthen the bond and pride in our Alma Mater, do hereby establish these bylaws for the Beta Nu chapter of Phi Kappa Tau Fraternity.",,
2491,Spanish Language Society,Academic Major Related,,"The purposes of this organization are to create a welcoming environment where individuals of all backgrounds come together to enhance their Spanish speaking and comprehension abilities, and prepare members for success in the workforce and beyond.",Mondays 5:30pm-6:30pm,Mata'yuum
2492,XCENTRIC!SD Dance Team,Recreational,,"The purpose of this organization is to serve as a passionate K-Pop dance collective united by our love for music, dance, and the pursuit of excellence. We prioritize motivation, excellence, and fostering an environment free from discrimination and hate. We stand firm against any form of hate, striving to create a space where every member is valued and respected regardless of their background. Our mission is to uplift, inspire, and shine through the world of K-pop dance.",,
2493,Aztec Robotics,Academic Major Related,,"The goal of our organization is to create a dynamic learning environment at the intersection of hardware and software, fostering hands-on experiences in robotics. Through targeted workshops, we aim to cultivate knowledge that is essential in the engineering field. Our commitment is to deliver a measurable impact by providing workshops in which we design and build robots for collegiate competitions while reaching a diverse student body. We aspire not only to introduce key subjects but also to stay at the forefront of industry trends, preparing students for success in a rapidly evolving technological landscape.",,
2494,Books and Vibes at SDSU,Recreational,,"-To connect people who love to read and have similar interests -We want to create a safe space for people to make new friends and express themselves",,
2495,Aztecs for Socialism,Academic Major Related,,"We look to create a safe and inviting space to members across all racial, ethnic, sexual, and gender identities for sound education, community building, and effective political organizing. Aiming to serve the students of SDSU and broader SD.","Alternating: Wednesday 5-7PM, Thursday 5-7PM",
2497,Black Psychology Student Organization,Academic Major Related,,The fundamental purpose of the organization is to bring awareness of the existence and power of Black Psychology to improve the lives of Black people specifically and the world generally.,TBD,Black Resource Center or Library
2501,BlacQspace,Cultural,,"The purpose of the organization is to foster support for and education on 2SLGBTQIA+ Black identity and culture. It is a space dedicated to fostering community, dialogue, and healing curated by and with the intention for Black Two Spirit, lesbian, gay, bisexual, transgender, questioning, and additional gender and sexual identities that fall under the 2SLGBTQIA+ umbrella.",Fridays 1:30 - 3:30 pm,Union 3 - Legacy Suite
2503,Creative Collective Magazine,Academic Major Related,https://www.instagram.com/creativecollective_sdsu/,"The Creative Collective Magazine seeks to recognize the artistic talents of undergraduate and graduate students.  We are dedicated to acknowledging the many artistic students here at SDSU. We expect to publish magazines by the end of the Fall and Spring semesters that contain students’ artworks. The Creative Collective Magazine accepts art submissions in the form of creative writing such as poetry and short stories as well as visual arts such as painting/multimedia, photography, sculptures, and short films, and sound media such as music and songs. Students do not need to be club members in order to submit their art. Our mission is to encourage SDSU students to express themselves through artistic avenues. We hope to represent and empower students from all majors with published magazines containing their valuable work.",Every other Friday at 2pm,
2504,Chaldean Assyrian Student Organization,Cultural,,"The goal of the Chaldean Assyrian Student Organization is to promote a lively, welcoming community that honors and conserves the rich cultural legacy of Assyrian and Chaldean customs. Our goal is to bring together Chaldean and Assyrian students and people who are interested in both cultures in a setting that values social engagement, academic achievement, and cultural awareness.",,
2507,Comedy Club,Recreational,,"A club that is dedicated to producing original comedy of any form including but not limited to sketch comedy, stand-up comedy, and improv.",,
2508,Black Campus Ministries,Religious Based,,"To promote the love and healing of Jesus Christ. In addition to catering to the needs of the black community and explore how biblical principles can be applied to the black community’s experiences. BCM will be a beacon of light, standing firmly on the foundation that is Jesus, serving as a safe space for all to come and worship, learn, and connect with one another and God.In addition to creating a space for black students to seek the relevance of God as they pursue justice and reconciliation both within and outside of the black community on the campus of San Diego State University (SDSU) by:  - creating an environment that is supportive, but challenging for students of African descent on the campus of San Diego State University  - organizing programs that enhance an individual’s spiritual growth, social support, and personal confidence  - exposing the students of African descent to role models that exemplify and glorify Christ in their everyday lives",Wednesday’s  (6pm-7:30pm),BRC Living Room
2509,Arab Christian Student Union,Religious Based,,"The Arab Christian Student Union aims to unite Arab Christian students on campus, establishing a sense of community and cultural identity. We provide our members with religious events, community service projects, social gatherings, and academic opportunities to enrich their university experience. Our organization is open to everyone, and strives to promote understanding and celebrate the diverse Arab Christian heritage within the broader campus community.",Wednesday 7:30-8:30 Biweekly,"Aztec Student Union - Aztlan, 230A"
2511,American Society for Photogrammetry and Remote Sensing - SDSU Chapter,Academic Major Related,https://community.asprs.org/chapter-sdsu/home,Further the advancement of remote sensing and photogrammetry education and career development at SDSU,Tuesday 11:30 - 12:30,Storm Hall 331 Finch Lab
2513,Data Science Initiative,Academic Major Related,https://linktr.ee/dsisdsu,"The purpose of our organization is to allow students to learn about data science skills and give them a chance to use their knowledge in practical application in the field of data science. We aim to provide students with a comprehensive understanding of the skills essential for a data scientist's everyday tasks, preparing them for the challenges of the professional world. Through a structured curriculum, hands-on projects, and collaboration opportunities, our organization strives to empower students with the expertise and confidence required to excel in the evolving field of data science.",,
2516,Women's Beach Volleyball Club at SDSU,Recreational,,"to give girls the opportunity to practice and compete in the sport of beach volleyball, which is not currently offered at SDSU","Tuesday, Thursday @ 6pm",Mission Beach
2521,LatinX Pre-Law Society,Service & Support,,Expanding diversity and helping students who identify as Latinx on their path to law school.,Thursdays at 5:00 pm,
2526,Girls Who Code College Loop at SDSU,Academic Major Related,https://girlswhocode.com/,Girls Who Code College Loop at SDSU is focused on closing the gender gap in the computer science field. We want to create a community that brings girls and non-binary/ underrepresented groups of people together who are interested in computer science and provide them the support and opportunities they deserve to flourish in their career goals. We want to do this through biweekly meetings that include technical workshops and professional development workshops.,,
2528,InterVarsity Christian Fellowship at SDSU,Religious Based,https://sandiego.intervarsity.org/,"The purpose of InterVarsity Christian Fellowship at SDSU (IV.SDSU) is to embody a multiethnic community learning what it means to follow Jesus, experience and embody God’s love and justice and seek the flourishing of all of SDSU. We do this by hosting small group Bible studies, community hangouts, prayer meetings and large group meetings. IV.SDSU seeks to partner with the different resource centers on campus to have small groups in the BRC, LRC (LaFe- Latinx Fellowship), APIDA Center (Asian American InterVarsity) and a general multiethnic study.",Tuesday: 2:00-3:30; Wednesday 1:00-2:30,Tuesday: student union; Wednesday: APIDA center
2534,Pi Sigma Alpha - Gamma Upsilon Chapter,Honor Society,https://pisigmaalpha.org/,"The purpose of the organization is to recognize excellence in academic achievement by undergraduate and graduate students in the fields of political science, government, international and public affairs; to stimulate scholarship and interest in political science; to promote worthwhile curricular and extracurricular activities related to political science; to promote civil dialog; and to engage in any other activities that further these purposes.","Tuesday, 3:30pm-4:30pm",Conrad Prebys Student Union
2536,Southeast Asian American Alliance,Cultural,,"The Southeast Asian American Alliance is a non-profit organization dedicated to educating and celebrating the rich cultures of Southeast Asian countries. We aim to increase visibility and awareness of SEA students. We hope to be able to protect and preserve the cultures of Southeast Asia.  The Southeast Asian American Alliance strives to build a welcoming community that is accepting of all races, gender identities, nationalities, and religions.","Mondays, 12-1pm",Visionary Suite
2538,Biomedical Engineering Society,Academic Major Related,,"The purposes of this organization are  to build and support the biomedical engineering community; designed to discuss modern advances, discoveries, and inventions; to promote education; and create professional networks in the biomedical field.",,
2539,Chicanx Sin Fronteras,Imperial Valley Campus,,Creating a space that promotes and invites our fronteriza community to learn from one another; everyone is included. We celebrate our diversity.,Monday 12-1pm,N-101
2541,Latin Dance Club,Recreational,,"The purpose of this organization is to learn dance styles from a Latin cultural background such as Salsa, Bachata, Tango, Cumbia, and more within a university community. Through our social dancing events, we aim to give a space that fosters social connection, personal growth, and a sense of belonging. We hope to cultivate a supportive community that encourages self-expression, cultural understanding, and a lifelong love for Latin dance.",,McKenzie Studio ARC
2544,Lip Sync Productions,Recreational,,To create a community of creativity with specification on creating music videos that requires performance on camera.,Thursday 7-8 pm,Aztlan Square
2547,Networked Narratives,Academic Major Related,,"The purpose of this organization is to organize academic conferences on  campus in order to provide students the opportunity to present their work in an  academic and professional setting; furthermore, the objective of our academic conferences is to construct a space for academic conversations across distinct fields in the humanities to converse with each other.",,
2558,Afghan Student Association at San Diego State University,Cultural,,The purpose of this organization is to congregate and uplift the community of Afghan students at San Diego State University.,Mondays 4:30-6:30,Visionary Suite (Student Union)
2568,Linguistics Student Association,Academic Major Related,https://sites.google.com/view/lsasdsu,The purposes of the LSA are to promote and facilitate the study of Linguistics at San Diego State University through expediting and organizing various events for students and faculty interested in Linguistics.,,
2569,Association for Computing Machinery Student Chapter,Academic Major Related,http://acm.sdsu.edu,"The Chapter is organized and will be operated exclusively for educational and scientific purposes to promote the following: An increased knowledge of and greater interest in the science, design, development, construction, languages, management and applications of modern computing; Greater interest in computing and its applications; A means of communication between persons having an interest in computing.",Wednesdays 4:00pm-5:30pm,TBD
2570,Achayot: Jewish Sisterhood,Cultural,,"The purpose of this organization is to create a vibrant sisterhood of Jewish women and their allies, cultivate a deep sense of community, philanthropy, and cultural pride. Achayot: Jewish Sisterhood is dedicated to empowering Jewish women on campus, embodying Jewish values, supporting Jewish life, and strengthening our connection to Israel.",,
2571,Dance Club,Academic Major Related,,"The purpose of this organization is to involve students at SDSU with dance events such as workshops, student-lead classes, and dance academia on campus as well as in the San Diego Dance community and to promote the San Diego Dance program.",,
2573,Armenian Students Association,Cultural,https://all-asa.org/,"ASA aims to preserve and promote Armenian culture, language, traditions, and heritage among Armenian students and the broader community.",Tuesdays @7:30,SSW3630
2574,The Crisis Carnival,Cultural,,"The goal of the Crisis Carnival is to bridge the institutional divide between creatives and foster a stronger arts community on campus and the greater San Diego region. Through hosting showcases and our publication, we intend to promote and celebrate student artists and their work and give them a platform to elevate themselves.",,
2575,Asian Cinema Club,Academic Major Related,,"To create a space for Asian/Asian American creatives to develop and showcase their film and multimedia work. We will host screenings of essential Asian cinema and spotlight the vast history of our underrepresented cultures on the big screen. As a club, we will produce short films that reflect our identities, giving us a space to express ourselves freely and uplift the voices of the greater Asian creative community at SDSU. We will host talks with local Asian filmmakers and industry professionals as well as foster discussions among us students on how we can spread our stories through a visual medium. Collaboration events with the APIDA center are also being discussed.",,
2576,Aerospace Navigation and Control Society,Academic Major Related,,To design and expand upon control theory projects and experiments with motivated STEM students,,
2577,Black Transfer Club,Cultural,,Connect Black/African American transfer students with community and academic/career resources at SDSU.,,Black Resource Center Media Room
2579,App Development Club,Recreational,https://appdev.sdsu.edu/,"The purposes of this organization are to provide lectures and workshops for application development, to educate members on industry-standard app development technologies, conduct hackathons and to participate in mobile app competitions.",,
2584,Women's Running Club at San Diego State University,Recreational,,To empower and bring together SDSU's female population through the sport of running. All levels are welcome at each and every one of our meetings and there is always space for everyone.,"Monday, Saturday","ENS Field, Off Campus Locations"
2585,Habla con Confianza,Academic Major Related,,"The purpose of Habla con Confianza is to build a community and safe space for bilingual Spanish speaking students within the department of speech-language and hearing sciences. Our goal is to give students the opportunity to voice their opinions and concerns while also providing an opportunity to learn how to become more confident in their abilities as a clinician, student, and/or bilingual. Although this group is dedicated toward Spanish speaking students, we aim to help everyone feel comfortable with their Spanish-speaking skills while also fostering a community. Everyone is welcome to join and engage in the conversation of bilingualism and representation within the field of speech-language pathology and audiology.",Weekly Fridays,SLHS 204
2586,Bioinformatics Student Association at San Diego State University,Academic Major Related,,"The purposes of this organization are to connect students to the growing industry of bioinformatics through education, networking and community enrichment",,
2587,Men's Basketball Club,Recreational,,The purpose of this organization is to allow students who are passionate about basketball to showcase their talents in a friendly and competitive environment while representing San Diego State University in games and tournaments throughout California and other states.,,
2588,Bilingual Education Student Organization B.E.S.O,Leadership,https://education2.sdsu.edu/beso,"A national movement that was birthed from activism and need.      Need to provide a space for Bilingual future educators to dialogue, grow, and learn from each other     Using a national platform to promote bilingualism and institutionalize it as a recognized national group     Getting bilingual teachers out of the shadows and into classroom     Working with teacher education programs around the U.S.     Embedding organization as part of education curriculum and practices",,
2589,On the Same Page,Imperial Valley Campus,,"This organization aims to promote engagement in reading and love for literature. Additionally, it creates a safe space to share ideas, engage in dialogue, enhance creativity, and promote community.",,
2592,Greek Life Activities Board (GLAB),Greek Auxiliary Group,,"Greek Life Activities Board is the only Greek board that includes members from ALL SDSU Greek organizations!  The board's purpose is to plan a wide range of activities that promote Greek unity, SDSU pride, and healthy competition while raising awareness for various beneficiaries and focus on philanthropic contributions.",Weekly Wednesday 5-7pm,Pierce Greek Life Center
2593,Femininomenon Magazine,Recreational,https://femininomenon.wixsite.com/mysite,"Femininomenon Magazine is dedicated to amplifying the voices, experiences, and creativity of women and gender non-conforming individuals at SDSU.",,
2596,All Peoples Church at San Diego State University,Religious Based,https://allpeopleschurch.org/,To awaken college students to the full destiny God has for our lives through passionate worship and radical Biblical teaching.,,
2602,Every Player Plays,Recreational,,"The purposes of this organization are to create a safe, welcoming, and collaborative space for neurodiverse children to develop their social communication skills and make friends through participation in team sports! It is our ultimate goal to validate the results of our original study and support our families in navigating the care of children with autism, using our community-based model for ASD intervention.",,
2604,Field Hockey Club at SDSU,Recreational,,"The purposes of this organization are to stay active, work as a team, learn, compete, and play field hockey.",,
2605,San Diego Racing Team,Academic Major Related,,"The San Diego Racing Team at SDSU aims to provide hands-on experience in car maintenance, modification, and design theory. We engage with industry experts and offer practical opportunities for students to apply automotive design concepts, bridging the gap between academic learning and real-world application.",,
2606,First-Generation Pre-Law Society at San Diego State University,Leadership,,"This organization aims to provide information, outreach, and mentorship by promoting scholarship, community service, leadership, study abroad, and research opportunities.",,
2607,Bridges International at San Diego State University,Religious Based,http://BridgesInternational.com,"Bridges International is a student organization that engages with international students through providing social connections, serving them in their various needs, engaging in spiritual conversations for those interested, and developing their student leadership.",,
2608,Intergenerational Gerontology Alliance,Academic Major Related,,"The purposes of this organization are to connect SDSU students with the aging community and organizations in San Diego. Through educating, volunteering, and collaborating, as well as engaging in intergenerational activities, the IGA is committed to being the stewards of the aging population.",,
2611,CubeSat Club,Academic Major Related,,"The purpose of this organization is to create CubeSats, or small satellites in general, as an innovative method to grant our members technical, hands-on Astronautical Engineering experience.",TBD,TBD
2612,Payment for Placements at San Diego State University,Leadership,,"The purpose of this organization is to advocate, organize, and petition for all SDSU School of Social Work students to be paid for their degree-required internships.",,
2614,Iota Eta Pi Improv,Recreational,,To farm excitement for the fringe arts and performance-based improvisational activities and games. We are a group that intends to put on multiple performances for those who want to participate and/or watch this art form.,,
2616,Gaming and Fitness,Imperial Valley Campus,,"Through a unique blend of fitness activities and immersive gaming experiences, Fitness and Gaming aims to create a supportive community where members can achieve their health and fitness goals while enjoying the thrill of gaming. Fitness and Gaming's mission is to inspire individuals to lead active lifestyles, enhance cognitive skills, and foster teamwork in a fun and dynamic environment.",,
2617,Latin American Studies Student Organization,Academic Major Related,https://latam.sdsu.edu/lasso,Our purpose is to gain an understanding of Latin America’s place in many academic disciplines as well as to enhance the student experience in their various degree programs through exploring the cultures and influences of Latin America.,,
2619,Anthropology Graduate Student Association,Academic Major Related,,"AGSA is a student-led organization that aims to promote the professional development of each graduate student in anthropology who is enrolled here at SDSU. We hold a monthly meeting during the semester and host other departmental and social functions. AGSA provides graduate students with multiple venues in which to grow outside of the classroom and seminar rooms.",,
2620,Mishelanu,Cultural,https://iac360.org/iac-events/sumsd/,"The mission of the Mishelanu is to build an engaged and united Israeli-American community that strengthens the Israeli and Jewish identity of our next generation, the American Jewish community, and the bond between the peoples of the United States and the State of Israel.","Tuesday , 19:00 pm",Hillel
2621,Aztecs in Research,Imperial Valley Campus,,"Through various forms of research, Aztecs in Research aims to create a supportive community where members can achieve their educational and research goals. Aztec in Research’s mission is to inspire individuals to lead active research initiatives while fostering teamwork in a fun and dynamic environment.",,
2624,Running Physical Therapy Association,Academic Major Related,,The purpose of this club is to enable future physical therapists to develop clinical reasoning by evaluating and managing runners.,,
2627,Active Child,Service & Support,https://www.activechild.org/who-we-are,"ActiveChild is dedicated to improving the health and well-being of students in impoverished schools. We provide essential resources and support to these students, including access to exercise equipment, activewear, and educational materials.",,
2630,nth try,Academic Major Related,,The purpose of this organization is to foster an inclusive engineering-based community that promotes individual and academic growth. nth try seeks to create a sense of belonging by hosting workshops and social events that help students solidify their identity as engineers and/or SDSU students.  Our goal is to support SDSU students by facilitating their engagement and involvement in their field.,,
2632,Earthquake Engineering Research Institute Student Chapter,Academic Major Related,,"The objective of the Earthquake Engineering Research Institute is to reduce earthquake risk by (1) advancing the science and practice of earthquake engineering, (2) improving understanding of the impact of earthquakes on the physical, social, economic, political, and cultural environment, and (3) advocating comprehensive and realistic measures for reducing the harmful effects of earthquakes.",,E103
2634,International Cinema Club,Cultural,,"The International Cinema Club aims to celebrate and explore the richness of global cinema by showcasing films from various cultures and countries. Its purpose is to provide a platform for film enthusiasts to experience diverse storytelling perspectives, enhance their understanding of different cultures, and engage in meaningful discussions about the art of filmmaking. By promoting a wide range of international films, the club seeks to inspire a deeper appreciation for the universal language of cinema.",Thursday 6pm-9pm,
2639,Club swim at SDSU,Recreational,,Purpose is to create a fun while competitive environment for students wanting to stay in shape as well as meet like minded people.,,Aquaplex
2643,Helping Hands for Homelessness,Service & Support,,"The purpose of Helping Hands for Homelessness is to provide necessities and directions to further resources like shelter and food for unhoused people on and around SDSU’s campus. This club also aims to promote empathy and awareness towards the homelessness crisis on campus. We hold weekly meetings that provide information on important issues regarding homelessness and allow members to sign up for outreach events. Our club is welcoming to all SDSU students. By joining Helping Hands for Homelessness, members will grow their leadership skills and promote community engagement through education and service projects.",Mondays 7-8pm,Hepner Hall 122
2644,Chi Omega,Social Sorority,http://chiomega.com,"The purpose of this organization shall be to promote friendship, high standards of personnel, sincere learning and creditable scholarship, participation in campus activities, community service, and career development.",,
2646,Sigma Nu Fraternity,Social Fraternity,https://www.sigmanu.org/,"To develop ethical leaders inspired by the principles of Love, Honor, and Truth. To foster the personal growth of each man's mind, heart, and character. To perpetuate lifelong friendships and commitment to the Fraternity.",Monday 8pm,Pride Suite Student Union
2647,Hawaii Club at SDSU,Cultural,,"The purpose of the Hawaii Club is to promote aloha, respect for the environment, and a sense of ohana (family) within our diverse community. We are dedicated to creating a supportive and inclusive environment where members can share their love for Hawaii, learn from one another, and play an active role in preserving and honoring our island.",,
2655,Aztec Paws at SDSU,Cultural,,"The purposes of this organization are to provide a safe, welcoming, and joyful club for all furries and fans of furry stuff. Its purpose is to provide a place where all sorts of furries can relax, unwind, and enjoy the community the club has built.",,
2660,GrowLuv at SDSU,Service & Support,http://growluv.org,To create a movement to educate and eradicate human abuse while inspiring and spreading love and kindness globally.,TBD,TBD
2661,Model United Nations at SDSU,Political,,"The purpose of this organization is to provide students with a unique platform to simulate international diplomacy, mirroring the actual workings of the United Nations. Through this experience, participants gain invaluable real-world insights into global governance and diplomatic processes. In an era where civil discourse is becoming increasingly scarce and undervalued, Model United Nations serves as a crucial training ground for future leaders and politicians. By engaging in dialogue, which is the cornerstone of effective diplomacy and global stability, students develop essential skills in negotiation, public speaking, and critical thinking. This immersive experience not only enhances their understanding of complex global issues but also fosters a sense of global citizenship and cross-cultural understanding. Ultimately, Model United Nations stands as a beacon of hope, nurturing the growth of tomorrow's diplomatic leaders in a world that desperately needs effective communication and cooperation on the international stage.",,
2662,Midnight Melodies,Recreational,,"Our mission is to engage all of those who are passionate about singing, and musical talent, and to present our gifts of talent into the community",Monday @ 4:00pm (Bi-Weekly),BRC Media Room
2664,The Dignified Learning Project,Academic Major Related,https://www.dignifiedlp.org/,"The purposes of this organization are to challenge education systems that have been intentionally designed to marginalize and minoritize students, stifle creativity and innovation, and perpetuate social and economic inequities. Our aim is to dismantle structural and institutional practices that perpetuate continued unequal access and outcomes. Our endeavors consistently revolve around cultivating a critical imagination that fosters dialogue and engagement for a better tomorrow. We prioritize amplifying the voices and experiences of the community and those most impacted, while resolutely rejecting hierarchical endeavors and mere performativity. At The DLP, we see education as a way to develop endless opportunities and a space to foster dialogue. Education systems need to be redesigned and imagined, going beyond mere reform. Therefore, we aim to utilize an interdisciplinary approach to equity and liberatory education by respecting, building with, and sustaining community efforts and voices. We never believe that we represent communities better than they can themselves, but rather, it is our role to work collaboratively with people and communities. We do this through our student services and programming, educator collaboration, and community-engaged research practices.",Monday 1 PM - 2 PM,Sociology Internship room
2666,College Democrats of SDSU,Political,,"The purpose of the College Democrats of SDSU is to promote the growth and development of the Democratic Party by engaging both undergraduate and graduate students at San Diego State University; work towards developing future leaders in both the Democratic Party and the community as a whole; actively support Democratic candidates, incumbents, including candidates for nonpartisan offices pledged to fulfill the Democratic Platform; increase political awareness through the dissemination of information on Democratic issues throughout the community; and carry out the Democratic Party campaign.",,
2669,Chicana/o Studies Association (CCSA),Academic Major Related,,"To foster a deeper understanding and appreciation of Chicano culture, history, and experiences among students, faculty, and the broader community. To provide a supportive community and resources for Chicano Studies major/ minor students to excel academically, professionally, and personally. To also create a welcoming and inclusive space for chicano studies students to connect, share experiences, an build a sense of community.",Friday 11:00 am- 12:30 pm,Art and Letters building
2671,World Computing Organization,Academic Major Related,,"The purpose of the World Computing Organization is to foster a collaborative environment where students, particularly those in computer science and engineering, can enhance their technical skills, exchange innovative ideas, and work on real-world projects. The club will provide opportunities for members to network with each other and with industry professionals through guest speaker events. Additionally, it will host activities like career fairs and hackathons to help students gain recognition and develop skills critical for their future careers.",,
2674,Studio Black,Cultural,,"A space for black creatives to express and develop their interests. Encompasses fashion, music, art, and all things creative. Our goal is to develop our creative ideas and turn them into something that we can all be proud of.",,
2678,Women's Transportation Seminar (WTS),Academic Major Related,https://www.wtsinternational.org/chapters/san-diego,"Connect students with industry professionals, promote networking events, and inform students of scholarship and internship/job opportunities.",,
2681,Iraqi Student Association,Cultural,,"The Iraqi Student Association at San Diego State University serves as a home for all students to connect and share the rich heritage of Iraq. Our mission is to foster a unified, inclusive environment that celebrates the beauty and diversity of Iraqi culture. By educating the SDSU community about Iraq’s history and traditions, and commemorating significant national events, we aim to showcase the strength and vibrancy of our heritage. Through this, we seek to build bridges, foster understanding, and present a bright and authentic portrayal of Iraq.",,
2686,Saudi Arabian Cultural Club,Cultural,,"Promote Saudi Arabian culture and heritage, Foster the Saudi community in here and educate others, and To be home away from home for the Saudi community and new student who needs guide too.",Thursday 3pm,"Sdsu, isc"
2689,APIDA Pre-Teacher Alliance,Cultural,,The APIDA PTA (Pre-Teacher Alliance) believes that an inclusive education benefits everyone. We strive to ensure that K-12 curricula includes Asian Pacific Islander Desi American (APIDA) histories and narratives. We also strive to diversify the teaching force by including more APIDA educators. We are a support group for APIDA teacher-candidates and allies. We aim to develop career growth opportunities and inspire each other to pursue our passions in and beyond K-12 classrooms.,TBD,APIDA Center
2694,Skateboarding and Action Sports Club,Recreational,,"The Skateboarding and Action Sports club aims to create a community and safe space where people of different skill levels and passions can connect, learn, grow and most importantly have fun together leaving a lasting positive impact on SDSU.",,
2696,Student Health Advisory Committee,Service & Support,,"The charge of SDSU SHAC is to provide on-going advice to the Office of the Vice-President for Student Affairs and Campus Diversity, as the President’s designee, and the directors of Student Health Services (SHS), Counseling & Psychological Services (C&PS), and Well-Being & Health Promotion (W&HP) on their: -Departments’ scope of services, both basic and augmented -Delivery of these services -Funding of services, and -Other critical issues related to these campus health and wellness services",Tuesday (Biweekly) from 2:00 pm to 3:00 pm.,"Calpulli Center: Floor #4, Conference Room #3"
2697,LaFe,Religious Based,https://lafe.intervarsity.org/#:~:text=Home%20%7C%20LaFe&text=LaFe%20is%20InterVarsity's%20Latino%20,"LaFe is InterVarsity's Latino Fellowship. We're both a community of Latino Staff and a campus outreach to Latino students on campuses across the country. We are helping students and faculty explore God, faith and the experiences of our people on campuses all across the country.We work hard to develop helpful resources to establish and advance witnessing communities on campus. LaFe produces Bible studies, eBooks, blog posts, evangelistic resources and more.",Tuesday’s 3:30-5pm,Latinx Resource Center
2699,Club Softball at SDSU,Recreational,,"The purpose of Club Softball is to provide a competitive and inclusive environment for individuals passionate about softball. We focus on skill development, teamwork, and sportsmanship while representing SDSU in local tournaments. Our goal is to create a fun and supportive atmosphere for all members to grow as athletes and teammates.",Tuesdays 5-7pm,Recreation Field 103
2702,instylesdsu,Cultural,,"The club will highlight current trends, share styling tips, and feature students' outfits both on and off campus through the club's instagram. Our mission is to help students discover their personal style, explore fashion-related career paths, and build a creative and supportive community",,
